county,year,asthma_rate,D_Rural,,,,county,year,asthma_rate,D_Rural,,,Year,RuralAvgRate,UrbanAvgRate
Clarion,2008,8.8,1,,,,,,,,,,,,
Clinton,2008,9.6,1,,,,,,,,,,,,
Forest,2008,NA,1,,,,,,,,,,,,
Fulton,2008,NA,1,,,,,,,,,,,,
Juniata,2008,NA,1,,,,,,,,,,,,
Montour,2008,NA,1,,,,,,,,,,,,
Perry,2008,4.3,1,,,,,,,,,,,,
Pike,2008,5.2,1,,,,,,,,,,,,
Potter,2008,NA,1,,,,,,,,,,,,
Snyder,2008,NA,1,,,,,,,,,,,,
Sullivan,2008,NA,1,,,,,,,,,,,,
Tioga,2008,6.7,1,,,,,,,,,,,,
Union,2008,NA,1,,,,,,,,,,,,
Warren,2008,NA,1,,,,,,,,,,,,
Adams,2009,8.9,1,,,,,,,,,,,,
Armstrong,2009,12.7,1,,,,,,,,,,,,
Bedford,2009,6.3,1,,,,,,,,,,,,
Blair,2009,8.5,1,,,,,,,,,,,,
Bradford,2009,11.4,1,,,,,,,,,,,,
Butler,2009,12.3,1,,,,,,,,,,,,
Cambria,2009,11.7,1,,,,,,,,,,,,
Carbon,2009,12.4,1,,,,,,,,,,,,
Centre,2009,8.8,1,,,,,,,,,,,,
Clearfield,2009,10.8,1,,,,,,,,,,,,
Columbia,2009,14.9,1,,,,,,,,,,,,
Crawford,2009,14.1,1,,,,,,,,,,,,
Elk,2009,11.8,1,,,,,,,,,,,,
Fayette,2009,19.8,1,,,,,,,,,,,,
Franklin,2009,7.1,1,,,,,,,,,,,,
Greene,2009,17.1,1,,,,,,,,,,,,
Huntingdon,2009,14.7,1,,,,,,,,,,,,
Indiana,2009,22.1,1,,,,,,,,,,,,
Jefferson,2009,13.1,1,,,,,,,,,,,,
Lawrence,2009,27,1,,,,,,,,,,,,
Lycoming,2009,9.4,1,,,,,,,,,,,,
McKean,2009,9.9,1,,,,,,,,,,,,
Mercer,2009,13.2,1,,,,,,,,,,,,
Mifflin,2009,14.9,1,,,,,,,,,,,,
Monroe,2009,15.5,1,,,,,,,,,,,,
Northumberland,2009,10.5,1,,,,,,,,,,,,
Schuylkill,2009,13.5,1,,,,,,,,,,,,
Somerset,2009,9,1,,,,,,,,,,,,
Susquehanna,2009,10.1,1,,,,,,,,,,,,
Venango,2009,16.4,1,,,,,,,,,,,,
Washington,2009,15.3,1,,,,,,,,,,,,
